"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
41275242,"MCDONALD'S",10013,"Hamburgers",9,24,24,585,9,3,"MANHATTAN","262","CANAL STREET",7,"A","06/01/2018",3,"MCDONALDS","262 CANAL STREET MANHATTAN",-74.0011677,40.7185138
41284638,"MCDONALD'S",10035,"Hamburgers",0,3,3,15,3,3,"MANHATTAN","145","EAST  125 STREET",5,"A","04/08/2019",3,"MCDONALDS","145 EAST  125 STREET MANHATTAN",-73.9370804,40.8044996
41379821,"MCDONALD'S",10461,"Hamburgers",3,13,12,135,6,2.625,"BRONX","1820","EASTCHESTER ROAD",8,"A","05/15/2018",3,"MCDONALDS","1820 EASTCHESTER ROAD BRONX",-73.8446172,40.8495149
41385362,"MCDONALD'S",10468,"Hamburgers",3,13,13,241,6,3,"BRONX","2630","JEROME AVENUE",8,"A","04/19/2019",3,"MCDONALDS","2630 JEROME AVENUE BRONX",-73.8973789,40.8669808
41390298,"MCDONALD'S",11224,"Hamburgers",2,10,10,111,5,3,"BROOKLYN","1403","MERMAID AVENUE",6,"A","04/04/2019",3,"MCDONALDS","1403 MERMAID AVENUE BROOKLYN",-73.9818321,40.5772274
41442614,"MCDONALD'S",11415,"Hamburgers",7,24,24,492,8,3,"QUEENS","12034","QUEENS BOULEVARD",8,"A","02/14/2019",3,"MCDONALDS","12034 QUEENS BOULEVARD QUEENS",-73.8292583,40.713215
41450623,"MCDONALD'S",11225,"Hamburgers",8,23,23,356,8,3,"BROOKLYN","57","EMPIRE BOULEVARD",11,"A","11/27/2018",3,"MCDONALDS","57 EMPIRE BOULEVARD BROOKLYN",-73.9599991,40.6637326
41450629,"MCDONALD'S",11213,"Hamburgers",6,14,14,158,7,3,"BROOKLYN","1133","EASTERN PARKWAY",5,"A","01/25/2019",3,"MCDONALDS","1133 EASTERN PARKWAY BROOKLYN",-73.9307237,40.6692496
41463512,"MCDONALD'S",10022,"Hamburgers",4,16,16,319,6,3,"MANHATTAN","824","3 AVENUE",2,"A","06/06/2018",3,"MCDONALDS","824 3 AVENUE MANHATTAN",-73.9708361,40.7561264
41463516,"MCDONALD'S",10009,"Hamburgers",2,11,9,79,6,3,"MANHATTAN","404","EAST   14 STREET",5,"A","08/01/2018",3,"MCDONALDS","404 EAST   14 STREET MANHATTAN",-73.982277,40.731014
41478966,"MCDONALD'S",10036,"Hamburgers",3,11,11,129,5,3,"MANHATTAN","220","WEST   42 STREET",7,"A","04/10/2018",3,"MCDONALDS","220 WEST   42 STREET MANHATTAN",-73.9880992,40.7562454
41500338,"MCDONALD'S",11432,"Hamburgers",3,10,9,185,6,3,"QUEENS","15901","JAMAICA AVENUE",7,"A","03/25/2019",3,"MCDONALDS","15901 JAMAICA AVENUE QUEENS",-73.800079,40.703579
41552204,"MCDONALD'S",10475,"American",0,7,7,77,3,3,"BRONX","2010","BARTOW AVENUE",9,"A","09/17/2018",3,"MCDONALDS","2010 BARTOW AVENUE BRONX",-73.8305343,40.8686931
41564898,"MCDONALD'S",10036,"Hamburgers",6,18,18,286,8,3,"MANHATTAN","688","8 AVENUE",3,"A","06/11/2018",3,"MCDONALDS","688 8 AVENUE MANHATTAN",-73.9888519,40.758092
41578619,"MCDONALD'S",10037,"American",3,12,12,170,6,3,"MANHATTAN","444","LENOX AVENUE",9,"A","03/08/2019",3,"MCDONALDS","444 LENOX AVENUE MANHATTAN",-73.9417226,40.8122165
41603147,"MCDONALD'S",10457,"American",2,12,12,141,5,3,"BRONX","1625","WEBSTER AVENUE",13,"A","04/10/2018",3,"MCDONALDS","1625 WEBSTER AVENUE BRONX",-73.9047388,40.8417859
41611084,"MCDONALD'S",10032,"American",2,16,16,263,5,3,"MANHATTAN","3809","BROADWAY",9,"A","03/04/2019",3,"MCDONALDS","3809 BROADWAY MANHATTAN",-73.944455,40.8353651
41624694,"MCDONALD'S",11414,"American",2,10,10,236,4,3,"QUEENS","15940","CROSS BAY BOULEVARD",7,"A","02/05/2019",3,"MCDONALDS","15940 CROSS BAY BOULEVARD QUEENS",-73.8399306,40.6578103
41629269,"MCDONALD'S",10038,"American",2,17,16,209,6,3,"MANHATTAN","52","FULTON STREET",13,"A","06/06/2018",3,"MCDONALDS","52 FULTON STREET MANHATTAN",-74.0049104,40.7082556
41629291,"MCDONALD'S",10002,"American",1,13,13,149,5,3,"MANHATTAN","213","MADISON STREET",11,"A","02/25/2019",3,"MCDONALDS","213 MADISON STREET MANHATTAN",-73.9892337,40.7129441
41629298,"MCDONALD'S",10007,"American",2,11,11,102,5,3,"MANHATTAN","167","CHAMBERS STREET",9,"A","01/25/2019",3,"MCDONALDS","167 CHAMBERS STREET MANHATTAN",-74.0105647,40.7163198
41650608,"MCDONALD'S",11361,"Hamburgers",9,24,24,369,8,2.78571428571429,"QUEENS","20311","NORTHERN BOULEVARD",13,"A","05/01/2018",3,"MCDONALDS","20311 NORTHERN BOULEVARD QUEENS",-73.779823,40.7578893
41696220,"MCDONALD'S",11421,"American",6,26,26,511,8,3,"QUEENS","9101","JAMAICA AVENUE",7,"A","12/27/2018",3,"MCDONALDS","9101 JAMAICA AVENUE QUEENS",-73.8537831,40.6933046
41696229,"MCDONALD'S",11432,"American",3,12,12,110,5,3,"QUEENS","16630","JAMAICA AVENUE",12,"A","11/09/2018",3,"MCDONALDS","16630 JAMAICA AVENUE QUEENS",-73.7928602,40.7060016
41696233,"MCDONALD'S",11435,"American",0,7,7,59,3,3,"QUEENS","9067","SUTPHIN BOULEVARD",12,"A","05/24/2018",3,"MCDONALDS","9067 SUTPHIN BOULEVARD QUEENS",-73.807654,40.701211
41698238,"MCDONALD'S",10475,"American",0,6,6,53,3,3,"BRONX","3550","CONNER ST",3,"A","02/08/2019",3,"MCDONALDS","3550 CONNER ST BRONX",-73.8268813,40.8856256
41719497,"MCDONALD'S",11212,"Hamburgers",6,20,19,289,8,3,"BROOKLYN","1642","PITKIN AVENUE",4,"A","05/30/2018",3,"MCDONALDS","1642 PITKIN AVENUE BROOKLYN",-73.9123296,40.6691601
50000328,"MCDONALD'S",11236,"Hamburgers",0,9,8,72,4,3,"BROOKLYN","2028","ROCKAWAY PKWY",5,"A","08/31/2018",3,"MCDONALDS","2028 ROCKAWAY PKWY BROOKLYN",-73.8899145,40.6331082
50001148,"MCDONALD'S",10027,"Hamburgers",8,23,23,365,8,2.78571428571429,"MANHATTAN","148","WEST 125 ST",11,"A","03/29/2019",3,"MCDONALDS","148 WEST 125 ST MANHATTAN",-73.9477843,40.8084532
50001660,"MCDONALD'S",10010,"American",0,6,6,68,3,3,"MANHATTAN","26","E 23RD ST",12,"A","05/18/2018",3,"MCDONALDS","26 E 23RD ST MANHATTAN",-73.9879435,40.7405013
50001819,"MCDONALD'S",10306,"Hamburgers",4,15,15,161,6,3,"STATEN ISLAND","2154","HYLAN BLVD",5,"A","02/11/2019",3,"MCDONALDS","2154 HYLAN BLVD STATEN ISLAND",-74.1021104,40.5775903
50004168,"MCDONALD'S",11106,"Hamburgers",4,18,18,266,7,3,"QUEENS","3255","31ST ST",12,"A","01/11/2019",3,"MCDONALDS","3255 31ST ST QUEENS",-73.9262229,40.760547
50005026,"MCDONALD'S",11208,"American",4,14,14,179,6,3,"BROOKLYN","3143","ATLANTIC AVE",4,"A","04/01/2019",3,"MCDONALDS","3143 ATLANTIC AVE BROOKLYN",-73.8791638,40.6798498
50006070,"MCDONALD'S",11368,"American",5,21,20,260,8,3,"QUEENS","4012","NATIONAL ST",12,"A","12/06/2018",3,"MCDONALDS","4012 NATIONAL ST QUEENS",-73.863008,40.749525
50006073,"MCDONALD'S",11368,"Hamburgers",2,9,9,85,5,3,"QUEENS","3719","JUNCTION BLVD",5,"A","02/27/2019",3,"MCDONALDS","3719 JUNCTION BLVD QUEENS",-73.870248,40.7511129
50006083,"MCDONALD'S",11372,"American",1,8,8,57,5,3,"QUEENS","3759","82ND ST",7,"A","11/21/2018",3,"MCDONALDS","3759 82ND ST QUEENS",-73.8837492,40.748079
50007421,"MCDONALD'S",11236,"American",8,19,19,222,8,3,"BROOKLYN","1467","ROCKAWAY PKWY",7,"A","02/21/2019",3,"MCDONALDS","1467 ROCKAWAY PKWY BROOKLYN",-73.9012832,40.6445306
50010254,"MCDONALD'S",11105,"Hamburgers",1,10,10,106,5,3,"QUEENS","2248","31ST ST",5,"A","11/29/2018",3,"MCDONALDS","2248 31ST ST QUEENS",-73.9122378,40.775315
50010321,"MCDONALD'S",11103,"Hamburgers",2,12,12,191,5,3,"QUEENS","3167","STEINWAY ST",2,"A","08/30/2018",3,"MCDONALDS","3167 STEINWAY ST QUEENS",-73.9182086,40.759424
50010324,"MCDONALD'S",11432,"Hamburgers",3,9,9,91,4,3,"QUEENS","18125","HILLSIDE AVE",13,"A","02/27/2019",3,"MCDONALDS","18125 HILLSIDE AVE QUEENS",-73.7808229,40.7134186
50010326,"MCDONALD'S",11377,"Hamburgers",2,8,8,93,4,3,"QUEENS","5135","NORTHERN BLVD",9,"A","01/17/2019",3,"MCDONALDS","5135 NORTHERN BLVD QUEENS",-73.9083417,40.7534179
50010393,"MCDONALDS",10034,"American",10,22,22,255,9,3,"MANHATTAN","608","W 207TH ST",8,"A","04/11/2019",3,"MCDONALDS","608 W 207TH ST MANHATTAN",-73.9212628,40.8674245
50010395,"MCDONALD'S",10040,"American",4,15,15,157,6,3,"MANHATTAN","208","DYCKMAN ST",9,"A","09/17/2018",3,"MCDONALDS","208 DYCKMAN ST MANHATTAN",-73.9272933,40.8651113
50014406,"MCDONALD'S",11231,"Hamburgers",0,4,4,25,3,3,"BROOKLYN","357","HAMILTON AVE",7,"A","01/04/2019",3,"MCDONALDS","357 HAMILTON AVE BROOKLYN",-73.9991178,40.6735362
50014408,"MCDONALD'S",11209,"American",0,9,9,95,3,3,"BROOKLYN","7124","3RD AVE",12,"A","09/18/2018",3,"MCDONALDS","7124 3RD AVE BROOKLYN",-74.0271446,40.6337607
50016928,"MCDONALD'S",11423,"Hamburgers",0,8,8,71,3,3,"QUEENS","20411","HILLSIDE AVE",6,"A","02/19/2019",3,"MCDONALDS","20411 HILLSIDE AVE QUEENS",-73.7612309,40.7208985
50016931,"MCDONALD'S",11234,"Hamburgers",0,5,5,43,3,3,"BROOKLYN","5407","KINGS PLZ",12,"A","02/11/2019",3,"MCDONALDS","5407 KINGS PLZ BROOKLYN",-73.9188188,40.610424
50018268,"MCDONALD'S",10303,"American",2,12,12,173,5,3,"STATEN ISLAND","1815","FOREST AVE",13,"A","12/05/2018",3,"MCDONALDS","1815 FOREST AVE STATEN ISLAND",-74.1493654,40.6254206
50018318,"MCDONALD'S",11427,"Hamburgers",0,5,5,39,3,3,"QUEENS","8814","SPRINGFIELD BLVD",5,"A","12/04/2018",3,"MCDONALDS","8814 SPRINGFIELD BLVD QUEENS",-73.744407,40.7292395
50018319,"MCDONALD'S",10011,"Hamburgers",4,16,16,209,6,3,"MANHATTAN","541","6TH AVE",11,"A","04/09/2019",3,"MCDONALDS","541 6TH AVE MANHATTAN",-73.9968453,40.7378967
50033272,"MCDONALD'S",11234,"American",0,6,6,56,3,3,"BROOKLYN","2240","FLATBUSH AVE",6,"A","05/03/2018",3,"MCDONALDS","2240 FLATBUSH AVE BROOKLYN",-73.9289556,40.6150066
50033273,"MCDONALD'S",11214,"American",0,5,5,32,3,3,"BROOKLYN","2411","86TH ST",7,"A","04/16/2019",3,"MCDONALDS","2411 86TH ST BROOKLYN",-73.9890666,40.5992539
50033277,"MCDONALD'S",11422,"American",0,6,6,50,3,3,"QUEENS","24410","MERRICK BLVD",11,"A","05/14/2018",3,"MCDONALDS","24410 MERRICK BLVD QUEENS",-73.7289945,40.673937
50033279,"MCDONALD'S",10002,"Hamburgers",0,6,6,54,3,3,"MANHATTAN","114","DELANCEY ST",12,"A","05/30/2018",3,"MCDONALDS","114 DELANCEY ST MANHATTAN",-73.988281,40.71883
50034505,"MCDONALD'S",11209,"Hamburgers",2,15,14,215,7,3,"BROOKLYN","430","86TH ST",10,"A","12/19/2018",3,"MCDONALDS","430 86TH ST BROOKLYN",-74.0277341,40.6220883
50034506,"MCDONALD'S",11236,"Hamburgers",0,6,6,37,3,3,"BROOKLYN","7602","FLATLANDS AVE",5,"A","06/04/2018",3,"MCDONALDS","7602 FLATLANDS AVE BROOKLYN",-73.9155447,40.6337477
50034652,"MCDONALD'S",11215,"Hamburgers",0,9,9,87,4,3,"BROOKLYN","289","9TH ST",13,"A","04/15/2019",3,"MCDONALDS","289 9TH ST BROOKLYN",-73.9867446,40.6697138
50034654,"MCDONALD'S",11214,"Hamburgers",0,6,6,44,3,3,"BROOKLYN","8520","20TH AVE",7,"A","05/07/2018",3,"MCDONALDS","8520 20TH AVE BROOKLYN",-73.9982685,40.6048307
50036014,"MCDONALDS",10001,"Hamburgers",0,9,9,86,3,3,"MANHATTAN","335","8TH AVE",10,"A","11/06/2017",3,"MCDONALDS","335 8TH AVE MANHATTAN",-73.997088,40.747569
50037580,"MCDONALD'S",10463,"American",9,22,22,433,7,2.36363636363636,"BRONX","5765","BROADWAY",9,"A","02/12/2019",3,"MCDONALDS","5765 BROADWAY BRONX",-73.9016736,40.8840927
50039189,"MCDONALD'S",10461,"American",0,5,5,43,3,3,"BRONX","16","WESTCHESTER SQ",11,"A","01/31/2019",3,"MCDONALDS","16 WESTCHESTER SQ BRONX",-73.8437165,40.8422847
50040867,"MCDONALD'S",10019,"Hamburgers",2,11,11,100,5,3,"MANHATTAN","946","8TH AVE",12,"A","04/05/2019",3,"MCDONALDS","946 8TH AVE MANHATTAN",-73.9831813,40.7658203
50040868,"MCDONALD'S",10007,"American",3,12,12,176,5,3,"MANHATTAN","317","BROADWAY",5,"A","05/18/2018",3,"MCDONALDS","317 BROADWAY MANHATTAN",-74.0053384,40.7158163
50040896,"MCDONALD'S",10456,"Hamburgers",0,8,8,86,3,3,"BRONX","3279","3RD AVE @164TH ST E",4,"A","03/25/2019",3,"MCDONALDS","3279 3RD AVE @164TH ST E BRONX",-73.908625,40.8251833
50041069,"MCDONALD'S",10019,"American",2,15,15,184,6,3,"MANHATTAN","1651","BROADWAY",7,"A","03/01/2019",3,"MCDONALDS","1651 BROADWAY MANHATTAN",-73.9837508,40.7622594
50042441,"MCDONALD'S",11210,"Hamburgers",1,9,9,103,4,3,"BROOKLYN","2154","NOSTRAND AVE",5,"A","04/01/2019",3,"MCDONALDS","2154 NOSTRAND AVE BROOKLYN",-73.9479772,40.6323421
50044988,"MCDONALD'S",11211,"American",3,14,14,139,6,3,"BROOKLYN","741","GRAND ST",5,"A","05/30/2018",3,"MCDONALDS","741 GRAND ST BROOKLYN",-73.9431876,40.7119601
50044989,"MCDONALD'S",11206,"American",2,15,15,211,6,3,"BROOKLYN","700","BROADWAY",6,"A","04/25/2018",3,"MCDONALDS","700 BROADWAY BROOKLYN",-73.9434676,40.7013333
50044993,"MCDONALD'S",11211,"American",0,6,6,52,3,3,"BROOKLYN","267","Broadway",7,"A","04/04/2019",3,"MCDONALDS","267 Broadway BROOKLYN",-73.958897,40.7089349
50045348,"MCDONALD'S",10028,"American",2,11,11,112,5,3,"MANHATTAN","1499","3RD AVE",12,"A","01/11/2019",3,"MCDONALDS","1499 3RD AVE MANHATTAN",-73.9543739,40.7777103
50045349,"MCDONALDS RESTAURANT",10017,"American",2,12,12,123,5,3,"MANHATTAN","18","E 42ND ST",13,"A","01/18/2019",3,"MCDONALDS","18 E 42ND ST MANHATTAN",-73.9802949,40.7529344
50045354,"MCDONALD'S",10016,"Hamburgers",3,16,16,184,6,3,"MANHATTAN","280","MADISON AVE",9,"A","06/05/2018",3,"MCDONALDS","280 MADISON AVE MANHATTAN",-73.9805145,40.7514214
50045356,"MCDONALD'S",10029,"American",0,6,6,58,3,3,"MANHATTAN","1872","3RD AVE",9,"A","08/23/2018",3,"MCDONALDS","1872 3RD AVE MANHATTAN",-73.9463148,40.7900439
50045357,"MCDONALD'S",10001,"American",2,10,10,142,5,3,"MANHATTAN","809","6TH AVE",4,"A","03/29/2019",3,"MCDONALDS","809 6TH AVE MANHATTAN",-73.9908826,40.7460118
50045509,"MCDONALD'S RESTAURANT",10029,"Hamburgers",0,8,8,74,3,3,"MANHATTAN","1871","2ND AVE",2,"A","04/25/2018",3,"MCDONALDS","1871 2ND AVE MANHATTAN",-73.9471185,40.784701
50046744,"MCDONALD'S",11221,"Hamburgers",1,10,10,127,5,3,"BROOKLYN","1380","BROADWAY",2,"A","01/17/2019",3,"MCDONALDS","1380 BROADWAY BROOKLYN",-73.9218599,40.6890828
50046746,"MCDONALD'S",11226,"American",0,6,6,52,3,3,"BROOKLYN","180","PARKSIDE AVE",12,"A","07/16/2018",3,"MCDONALDS","180 PARKSIDE AVE BROOKLYN",-73.9615373,40.6547708
50046747,"MCDONALD'S",11237,"American",1,8,8,56,5,3,"BROOKLYN","428","KNICKERBOCKER AVE",4,"A","04/16/2019",3,"MCDONALDS","428 KNICKERBOCKER AVE BROOKLYN",-73.9197012,40.6993588
50047819,"MCDONALD'S",10003,"Hamburgers",2,14,14,164,6,3,"MANHATTAN","724","BROADWAY",3,"A","03/29/2019",3,"MCDONALDS","724 BROADWAY MANHATTAN",-73.9932643,40.7291264
50048068,"MCDONALDS",11369,"American",2,14,14,211,5,3,"QUEENS","8805","ASTORIA BLVD",13,"A","02/20/2019",3,"MCDONALDS","8805 ASTORIA BLVD QUEENS",-73.8809684,40.7642622
50048336,"MCDONALD'S",11373,"American",4,21,21,675,6,3,"QUEENS","9015","QUEENS BLVD",7,"A","01/09/2019",3,"MCDONALDS","9015 QUEENS BLVD QUEENS",-73.8704985,40.7345156
50050670,"MCDONALD'S",10455,"American",3,14,14,233,5,3,"BRONX","839","WESTCHESTER AVE",10,"A","03/21/2019",3,"MCDONALDS","839 WESTCHESTER AVE BRONX",-73.9021329,40.8196774
50050671,"MCDONALDS",10451,"American",3,12,12,159,5,3,"BRONX","279","E 149TH ST",12,"A","04/16/2019",3,"MCDONALDS","279 E 149TH ST BRONX",-73.9221584,40.8175239
50050674,"MCDONALD'S RESTAURANT",10460,"Sandwiches/Salads/Mixed Buffet",7,21,21,265,7,3,"BRONX","1600","BOSTON RD",4,"A","09/19/2018",3,"MCDONALDS","1600 BOSTON RD BRONX",-73.8905806,40.8355029
50053883,"MCDONALD'S",11378,"American",0,6,6,60,3,3,"QUEENS","5960","55TH RD",12,"A","09/27/2018",3,"MCDONALDS","5960 55TH RD QUEENS",-73.9067031,40.7263107
50054754,"MCDONALD'S",11436,"American",0,7,7,60,3,3,"QUEENS","11401","SUTPHIN BLVD",5,"A","11/13/2018",3,"MCDONALDS","11401 SUTPHIN BLVD QUEENS",-73.7938909,40.6862649
50055396,"MCDONALD'S",10012,"American",2,13,13,286,4,3,"MANHATTAN","136","W 3RD ST",5,"A","07/30/2018",3,"MCDONALDS","136 W 3RD ST MANHATTAN",-74.0011149,40.7307914
50055399,"MCDONALD'S",10001,"American",2,12,12,149,4,3,"MANHATTAN","490","8TH AVE",9,"A","05/31/2018",3,"MCDONALDS","490 8TH AVE MANHATTAN",-73.9928762,40.7525294
50056248,"MCDONALD'S",10017,"Hamburgers",0,6,6,65,3,3,"MANHATTAN","14","E 47TH ST",13,"A","02/12/2019",3,"MCDONALDS","14 E 47TH ST MANHATTAN",-73.9778118,40.7561728
50059655,"MCDONALD'S",11216,"American",0,4,4,32,2,3,"BROOKLYN","1531","FULTON ST",8,"A","05/15/2018",3,"MCDONALDS","1531 FULTON ST BROOKLYN",-73.9400708,40.6800683
50059826,"MCDONALD'S",11693,"American",9,23,23,321,9,3,"QUEENS","9118","BEACH CHANNEL DR",3,"A","04/01/2019",3,"MCDONALDS","9118 BEACH CHANNEL DR QUEENS",-73.8168043,40.5887652
50060786,"MCDONALDS",10036,"American",4,18,18,301,6,3,"MANHATTAN","1188","6th AVE",9,"A","11/26/2018",3,"MCDONALDS","1188 6th AVE MANHATTAN",-73.9817807,40.7576014
50061047,"MCDONALD'S",11434,"Hamburgers",3,9,9,97,4,3,"QUEENS","16601","BAISLEY BLVD",4,"A","11/01/2018",3,"MCDONALDS","16601 BAISLEY BLVD QUEENS",-73.7772611,40.680156
50062663,"MCDONALD'S",11430,"Hamburgers",0,5,5,63,2,3,"QUEENS","000","JFK INTL AIRPORT TERMINAL 4",12,"A","05/24/2018",3,"MCDONALDS","000 JFK INTL AIRPORT TERMINAL 4 QUEENS",-73.7819991,40.6406782
50062665,"MCDONALD'S",11430,"American",0,3,3,16,2,3,"QUEENS","000","AMERICAN AIR,JFK AIRPORT TERMINAL 8",2,"A","06/13/2018",3,"MCDONALDS","000 AMERICAN AIR,JFK AIRPORT TERMINAL 8 QUEENS",-73.7915598,40.6480924
50063996,"MCDONALD'S",11232,"American",7,19,19,395,5,1.75,"BROOKLYN","968","4TH AVE",4,"A","01/24/2019",3,"MCDONALDS","968 4TH AVE BROOKLYN",-74.0054532,40.6537141
50064637,"MCDONALD",10459,"Sandwiches",2,7,7,98,3,3,"BRONX","925","HUNTS POINT AVE",9,"A","04/30/2018",3,"MCDONALDS","925 HUNTS POINT AVE BRONX",-73.8914534,40.8203683
50064971,"MCDONALD'S",11430,"American",0,4,4,42,2,3,"QUEENS","000","JFK INTL AIRPORT ERMINAL 1",11,"A","08/21/2018",3,"MCDONALDS","000 JFK INTL AIRPORT ERMINAL 1 QUEENS",-73.7781391,40.6413111
