"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
50086454,"MCDONALD'S",11434,"American",0,2,2,18,1,3,"QUEENS","16504","147TH AVE",9,"A","04/09/2019",3,"MCDONALDS","16504 147TH AVE QUEENS",-73.7739438,40.6600792
50086956,"MCDONALD'S",10009,"Hamburgers",0,1,1,4,1,3,"MANHATTAN","102","1ST AVE",4,"A","02/12/2019",3,"MCDONALDS","102 1ST AVE MANHATTAN",-73.9858036,40.7265041
50086976,"MCDONALD'S CORPORATION",10003,"American",0,5,5,48,1,3,"MANHATTAN","39","UNION SQ W",12,"A","03/11/2019",3,"MCDONALDS","39 UNION SQ W MANHATTAN",-73.9908379,40.7370894
50087014,"MCDONALD'S",10010,"American",0,1,1,4,1,3,"MANHATTAN","336","E 23RD ST",4,"A","01/11/2019",3,"MCDONALDS","336 E 23RD ST MANHATTAN",-73.9794773,40.7370237
50087016,"MCDONALD'S",10010,"American",2,6,6,150,2,3,"MANHATTAN","686","6TH AVE",5,"A","04/11/2019",3,"MCDONALDS","686 6TH AVE MANHATTAN",-73.9931724,40.7418926
50087020,"MCDONALD'S",11106,"American",0,2,2,20,1,3,"QUEENS","3146","21ST ST",10,"A","03/13/2019",3,"MCDONALDS","3146 21ST ST QUEENS",-73.9309533,40.7663909
50087023,"MCDONALD'S CORPORATION",11106,"American",0,1,1,7,1,3,"QUEENS","3255","31ST ST",7,"A","02/12/2019",3,"MCDONALDS","3255 31ST ST QUEENS",-73.9262229,40.760547
50087031,"MCDONALD'S",10001,"American",0,2,2,14,1,3,"MANHATTAN","429","7TH AVE",7,"A","03/13/2019",3,"MCDONALDS","429 7TH AVE MANHATTAN",-73.990583,40.7505058
50087084,"MCDONALD'S RESTAURANTS OF NEW YORK INC",10036,"Hamburgers",0,3,3,36,1,3,"MANHATTAN","1560","BROADWAY",12,"A","02/13/2019",3,"MCDONALDS","1560 BROADWAY MANHATTAN",-73.9846239,40.7586827
50087091,"MCDONALD'S",10018,"Hamburgers",0,2,2,16,1,3,"MANHATTAN","972","6TH AVE",8,"A","03/12/2019",3,"MCDONALDS","972 6TH AVE MANHATTAN",-73.9867273,40.7508082
50087095,"MCDONALD'S",10014,"Hamburgers",0,3,3,30,1,3,"MANHATTAN","208","VARICK ST",10,"A","04/04/2019",3,"MCDONALDS","208 VARICK ST MANHATTAN",-74.0050629,40.7287529
50087099,"MCDONALD'S",10036,"American",3,7,7,188,2,3,"MANHATTAN","220","W 42ND ST",12,"A","04/12/2019",3,"MCDONALDS","220 W 42ND ST MANHATTAN",-73.9880992,40.7562454
50087102,"MCDONALD'S",10018,"American",0,1,1,3,1,3,"MANHATTAN","556","7TH AVE",3,"A","03/14/2019",3,"MCDONALDS","556 7TH AVE MANHATTAN",-73.9883058,40.7547117
50087108,"MCDONALD'S",10021,"American",0,3,3,39,1,3,"MANHATTAN","1286","1ST AVE",13,"A","03/21/2019",3,"MCDONALDS","1286 1ST AVE MANHATTAN",-73.9570832,40.7659046
50087226,"MCDONALDS",10452,"Hamburgers",4,7,7,150,2,3,"BRONX","86","E 167TH ST",11,"A","03/01/2019",3,"MCDONALDS","86 E 167TH ST BRONX",-73.9199309,40.8350303
